"Les baby-sitters sur une île déserte / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"208 p. : ill. ; 20 cm";"Les baby-sitters. Super spécial ; no 4";"Traduction de: Baby-sitters' Island adventure
""Quatre gardiennes fondent leur club""";"2-7625-7710-1 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Baby-sitters' Island adventure";"0000426630"
"Anne-Marie pense encore à Louis / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"111 p. ; 20 cm";"Les baby-sitters ; 46";"Traduction de: Mary Anne misses Logan
""Quatre gardiennes fondent leur club""";"2-7625-7703-9 (br.) :";"Ferron, Nicole , trad.";"Mary Anne misses Logan";"0000426629"
"Anne-Marie en a plein les bras / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms inc.)";"113 p. ; 20 cm";"Les baby-sitters ; 52";"Traduction de: Mary Anne + 2 many babies
Roman
Date de cop.: 1995
""Quatre gardiennes fondent leur club""";"2-7625-7802-7 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Mary Anne + 2 many babies";"0000445004"
"Christine et l'enfant perdu / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"124 p. ; 18 cm";"Les baby-sitters. Mystère ; no 4";"Traduction de: Kristy and the missing child
Roman";"2-7625-7664-4 (br.) :";"Ferron, Nicole , trad.";"Kristy and the missing child";"0000422529"
"Christine et le drôle de défilé / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"109 p. ; 20 cm";"Les baby-sitters ; 45";"Traduction de: Kristy and the baby parade
Roman";"2-7625-7702-0 (br.) :";"Ferron, Nicole , trad.";"Kristy and the baby parade";"0000423967"
"L'ex-meilleure amie de Sophie / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms inc.)";"113 p. ; 20 cm";"Les baby-sitters ; 51";"Traduction de: Stacey's ex-best friend
Roman
Date de cop.: 1995
""Quatre gardiennes fondent leur club""";"2-7625-7801-9 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Stacey's ex-best friend";"0000445002"
"Une urgence pour Sophie / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"111 p. ; 20 cm";"Les baby-sitters ; 43";"Traduction de: Stacey's emergency
""Quatre gardiennes fondent leur club""";"2-7625-7591-5 (br.) :";"Ferron, Nicole , trad.";"Stacey's emergency";"0000422538"
"Mystère chez Claudia / Ann M. Martin ; adapté de l'américain par Lucie Duchesne";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"142 p. ; 18 cm";"Les baby-sitters. Mystère ; no 6";"Traduction de: The mystery at Claudia's house
Roman";"2-7625-8108-7 (br.) :";"Duchesne, Lucie , trad.";"The mystery at Claudia's house";"0000446221"
"On ne veut plus de toi, Claudia / Ann M. Martin ; adapté de l'américain par Lucie Duchesne";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"120 p. ; 20 cm";"Les baby-sitters ; 56";"Traduction de: Keep out, Claudia!
""Quatre gardiennes fondent leur club""
Roman";"2-7625-8120-6 (br.) :";"Duchesne, Lucie , trad.";"Keep out, Claudia!";"0000458621"
"La nouvelle Anne-Marie / Ann M. Martin ; adapté de l'américain par Lucie Duchesne";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1995 (Saint-Lambert : Payette & Simms)";"123 p. ; 20 cm";"Les baby-sitters ; 60";"Traduction de: Mary Ann's makeover
Roman";"2-7625-8124-9 (br.) :";"Duchesne, Lucie , trad.";"Mary Ann's makeover";"0000463968"
